Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
9,7,2,1.86,0.02,1,19,7,7,1,0,2,0.02,0.71,0.8,0.01,0.22,0.28,0.24,-0.07,79,83,2,0,0.8,12.46,58.6,92.31,0
4,7,3,0.36,0.04,1,18,8,4,3,1,0.29,0.05,0.28,0.73,0.05,0.22,0.11,0.23,-0.06,158,161,4,0,0.6,9.62,69.97,92.97,0
6,6,3,1.9,0.04,1,4,3,6,1,0,1.26,0.02,0.76,1.42,0.03,0.27,0.25,0.32,-0.2,1,6,0,0,1,14.59,53.66,89.86,1
4,7,2,0.99,0.05,1,13,8,6,3,1,0.78,0.03,0.53,0.89,0.02,0.13,0.27,0.38,-0.08,88,92,2,0,0.8,12.33,64.24,91.65,0
13,4,1,0.9,0.02,1,14,9,4,3,1,0.52,0.02,0.84,0.59,0.01,0.27,0.15,0.33,-0.08,0,5,0,0,1,14.28,44.28,91.94,1
12,5,3,0.71,0.01,1,18,4,5,3,1,0.59,0.03,0.35,1.43,0.03,0.12,0.22,0.28,-0.07,84,247,7,161,0.8,13.29,133.86,84.68,0
12,4,3,1.16,0.02,1,18,2,4,2,0,1.26,0.04,0.86,1,0.01,0.22,0.3,0.4,-0.16,86,90,2,0,0.8,16.13,101.03,82.84,0
3,7,4,1.36,0.04,1,17,2,7,3,1,1.23,0.02,0.93,0.9,0.05,0.12,0.15,0.25,-0.03,0,5,0,0,1,14.78,56.74,89.91,1
17,4,4,0.23,0.02,0,19,7,5,3,1,0.8,0.02,0.28,1.49,0.02,0.28,0.11,0.26,-0.04,159,162,4,0,0.6,9.54,68.08,93.64,0
10,7,3,1.75,0.03,1,9,6,4,4,0,1.08,0.02,0.53,1.36,0.04,0.17,0.2,0.12,-0.22,0,5,0,0,1,15.69,68.25,86.68,1
6,7,3,0.33,0.02,0,5,6,7,3,0,0.81,0.03,0.31,1.18,0.04,0.11,0.1,0.2,-0.23,0,5,0,0,1,15.57,69.32,86.36,1
2,6,2,0.53,0.05,1,5,3,7,1,0,1.63,0.04,0.71,0.97,0.03,0.24,0.29,0.37,-0.04,86,90,2,0,0.8,12.47,76.6,88.49,0
2,4,1,0.36,0.05,0,11,10,4,4,0,1.72,0.03,0.72,1.15,0.04,0.17,0.11,0.11,-0.04,138,219,8,80,0.4,12.54,157.02,81.52,0
14,5,1,1.46,0.02,1,14,3,6,2,0,1.12,0.04,0.44,0.79,0.02,0.18,0.19,0.31,-0.25,80,84,2,0,0.8,13.17,74.21,88.83,0
15,5,2,0.93,0.05,0,14,4,6,3,0,1.11,0.05,0.11,0.8,0.04,0.18,0.23,0.29,-0.01,79,83,2,0,0.8,11.98,64.25,90.99,0
10,4,3,1.72,0.02,0,15,4,4,1,0,1.15,0.02,0.68,1.04,0.03,0.2,0.3,0.15,-0.26,99,103,2,0,0.8,13.07,84.43,87.32,0
9,6,4,1.37,0.04,1,18,6,6,3,1,1.76,0.02,0.95,0.99,0.01,0.27,0.17,0.2,-0.2,0,5,0,0,1,14.42,49.41,0,0
3,4,3,0.66,0.02,1,17,1,6,1,0,1.08,0.02,0.33,1.43,0.04,0.12,0.26,0.24,-0.21,0,5,0,0,1,14.97,58.77,88.67,1
5,6,2,1.82,0.03,1,5,4,5,3,1,1.93,0.05,0.22,0.82,0.03,0.21,0.27,0.27,-0.28,82,86,2,0,0.8,15.6,101.3,82.84,0
11,7,4,1.57,0.02,0,6,10,6,2,1,1.34,0.04,0.75,0.6,0.02,0.27,0.15,0.32,-0.26,87,91,2,0,0.8,14.25,90.27,85.34,0
11,6,1,1.28,0.05,1,6,10,4,4,1,1.41,0.04,0.23,0.82,0.02,0.23,0.21,0.3,-0.17,84,88,2,0,0.8,17.35,107.45,81.52,0
13,4,4,1.2,0.01,1,15,6,6,1,0,0.44,0.03,0.7,1.22,0.05,0.13,0.19,0.21,-0.16,85,168,4,80,0.8,22.67,176.39,69.89,0
1,7,2,1.2,0.02,1,16,2,4,4,1,0.76,0.02,0.67,1.25,0.04,0.28,0.12,0.1,-0.14,112,115,4,0,0.8,13.61,125.62,81.52,0
14,4,2,0.76,0.02,1,15,4,7,2,1,1.58,0.02,0.99,0.99,0.02,0.13,0.17,0.27,-0.26,1,6,0,0,1,14.64,58.25,88.79,1
4,7,3,0.29,0.05,1,16,3,7,3,1,1.7,0.03,0.53,1.47,0.03,0.28,0.18,0.24,-0.22,84,91,2,3,0.8,13.29,76.35,88.49,0
7,5,4,1.31,0.05,1,11,10,6,2,1,1.48,0.01,0.49,0.98,0.02,0.28,0.17,0.13,-0.23,0,5,0,0,1,14.48,54.55,89.99,1
6,5,3,1.07,0.01,0,12,4,5,1,1,0.4,0.03,0.93,0.87,0.04,0.11,0.17,0.25,-0.21,83,166,4,80,0.8,17.45,145.41,76.53,0
12,5,1,0.66,0.01,0,19,2,5,2,1,1.79,0.01,0.73,0.79,0.04,0.21,0.28,0.31,-0.14,80,84,2,0,0.8,13.06,66.52,90.48,0
16,6,3,0.89,0.02,1,6,5,7,1,0,1.73,0.04,0.17,0.88,0.02,0.14,0.23,0.16,-0.07,80,84,2,0,0.8,11.82,59.06,91.98,0
3,4,1,1.27,0.03,0,2,7,4,2,1,1.1,0.04,0.38,0.79,0.03,0.23,0.26,0.18,-0.27,0,5,0,0,1,15.08,76.05,84.9,1
7,5,2,1.53,0.02,1,1,10,6,2,0,0.61,0.03,0.5,1.05,0.02,0.3,0.14,0.26,-0.12,1,6,0,0,1,14.36,45.76,91.65,1
6,5,2,0.23,0.02,0,5,6,5,4,0,0.21,0.03,0.47,0.86,0.02,0.13,0.21,0.2,-0.04,79,83,2,0,0.8,12.75,59.76,91.98,0
13,6,4,0.95,0.04,0,4,2,7,1,0,1.25,0.03,0.15,0.86,0.05,0.16,0.29,0.36,-0.23,1,6,0,0,1,24.12,134.66,71.72,1
17,5,1,0.63,0.05,0,19,1,7,4,0,0.85,0.05,0.62,1.29,0.03,0.21,0.14,0.15,-0.24,94,97,4,0,0.8,14.11,116.56,84.87,0
1,6,4,1.51,0.02,0,18,3,6,3,0,1.36,0.01,0.63,0.59,0.04,0.29,0.18,0.39,-0.17,5,10,0,0,1,15.9,63.05,87.87,1
13,4,3,1.13,0.02,0,14,10,5,4,1,1.73,0.01,0.36,1.45,0.02,0.29,0.21,0.22,-0.13,82,86,2,0,0.8,13.49,68.87,89.98,0
2,5,1,1.71,0.02,1,13,6,7,2,0,1.02,0.02,0.51,1.46,0.05,0.19,0.27,0.38,-0.08,0,5,0,0,1,14.29,48.41,90.96,1
19,5,3,0.81,0.03,1,16,10,5,4,1,1.67,0.04,0.61,1.32,0.05,0.21,0.29,0.22,-0.17,1,6,0,0,1,21.48,121.5,0,0
15,6,3,1.82,0.05,0,19,5,4,3,0,1.63,0.02,0.59,1.01,0.02,0.16,0.2,0.23,-0.15,0,5,0,0,1,15.11,53.43,89.83,1
10,4,1,0.51,0.03,1,7,9,7,1,1,0.25,0.01,0.66,1.45,0.04,0.21,0.23,0.1,-0.21,1,6,0,0,1,14.51,54.07,89.86,1
15,7,2,0.72,0.02,1,19,10,7,1,1,0.65,0.04,0.87,1.21,0.04,0.21,0.13,0.13,-0.29,0,5,0,0,1,14.69,59.52,88.49,1
9,5,3,1.72,0.02,0,18,1,6,3,1,1.51,0.04,0.78,0.56,0.02,0.22,0.21,0.19,-0.05,81,162,6,79,0.6,9.88,110.03,89.82,0
14,7,4,1.15,0.03,0,14,5,5,1,1,1.8,0.02,0.16,0.59,0.05,0.25,0.17,0.12,-0.27,82,167,6,83,0.6,18.51,221.62,65.74,0
14,7,3,1.04,0.03,1,6,1,4,2,1,0.27,0.03,0.12,1.44,0.02,0.23,0.1,0.32,-0.29,4,9,0,0,1,15.02,54.09,89.82,1
16,5,4,1.5,0.03,0,10,1,4,3,1,0.47,0.02,0.96,1.29,0.04,0.19,0.15,0.34,-0.09,163,166,4,0,0.6,9.69,74.62,92.31,0
1,4,4,1.34,0.04,0,13,2,7,2,1,1.66,0.01,0.34,0.76,0.03,0.17,0.19,0.18,-0.1,0,5,0,0,1,18.61,89.26,81.85,1
6,4,2,1.6,0.05,1,3,1,4,2,1,1.51,0.01,0.69,1.3,0.02,0.25,0.1,0.35,-0.07,0,5,0,0,1,14.28,43.65,91.99,1
15,6,2,0.83,0.03,0,6,7,6,1,0,1.56,0.05,0.77,1.27,0.01,0.23,0.11,0.19,-0.18,96,100,2,0,0.8,17.21,122.3,78.69,0
10,5,4,0.57,0.04,0,18,2,4,4,1,0.69,0.03,0.5,0.62,0.01,0.23,0.18,0.21,-0.04,2,7,0,0,1,14.44,48.23,91.01,1
4,7,3,0.92,0.01,1,19,2,5,2,1,1.15,0.05,0.33,1.26,0.02,0.25,0.13,0.35,-0.21,1,6,0,0,1,14.59,49.59,90.66,1
8,6,1,1.8,0.03,0,11,9,4,1,0,0.69,0.02,0.39,1.49,0.03,0.19,0.2,0.21,-0.16,1,6,0,0,1,15.45,55.55,89.52,1
8,5,3,1.4,0.05,0,12,9,6,4,1,0.32,0.01,0.72,0.82,0.04,0.22,0.15,0.16,-0.07,238,319,8,80,0.4,8.18,107.13,91.65,0
5,6,2,0.84,0.04,0,12,8,6,2,0,1.26,0.02,0.24,1.4,0.03,0.29,0.25,0.14,-0.12,1,6,0,0,1,15.49,61.9,88,1
6,5,3,1.55,0.05,0,10,8,7,4,1,1.23,0.04,0.48,1.23,0.05,0.22,0.2,0.14,-0.09,82,86,2,0,0.8,12.2,61.36,91.65,0
20,5,3,0.86,0.03,0,18,3,7,1,1,1.25,0.05,0.63,1.22,0.03,0.2,0.25,0.34,-0.21,1,6,0,0,1,15.44,60.95,88.16,1
15,7,3,0.34,0.03,0,12,7,4,3,1,0.81,0.04,0.63,0.55,0.04,0.13,0.21,0.13,-0.11,243,322,10,79,0.2,11.33,190.74,78.36,0
12,7,2,0.95,0.04,1,16,3,4,4,0,1.82,0.02,0.68,0.8,0.04,0.14,0.22,0.28,-0.12,82,86,2,0,0.8,51.35,399.22,16.56,0
14,4,4,0.46,0.01,1,17,8,6,4,1,1.02,0.03,0.81,0.77,0.02,0.2,0.12,0.35,-0.07,0,5,0,0,1,14.3,46.2,91.55,1
12,6,4,0.22,0.02,1,5,9,5,3,1,0.22,0.03,0.68,0.8,0.05,0.26,0.23,0.11,-0.26,84,87,4,0,0.6,15.03,153.3,0,0
14,6,1,1.32,0.01,0,14,10,5,2,1,0.58,0.02,0.19,1.38,0.04,0.29,0.18,0.22,-0.3,7,12,0,0,1,16.63,85.83,82.87,1
18,6,4,1.96,0.02,0,4,8,6,3,1,1.75,0.04,0.42,0.69,0.03,0.26,0.25,0.35,-0.14,1,4,4,0,0.6,88.45,706.88,8.96,0
10,7,1,1.89,0.01,1,1,1,5,2,0,0.64,0.01,0.4,1.1,0.03,0.28,0.17,0.29,-0.15,7,12,0,0,1,14.48,53.63,90,1
17,4,3,1.49,0.03,0,14,10,7,1,1,1.24,0.03,0.48,1.37,0.04,0.26,0.2,0.12,-0.12,167,170,4,0,0.6,11.2,85.27,89.98,0
6,7,2,1.41,0.02,0,14,10,4,3,0,1.11,0.02,0.33,1.34,0.05,0.23,0.21,0.2,-0.15,3,8,0,0,1,15.3,55.87,89.78,1
10,7,3,1.26,0.03,0,7,1,6,3,1,1.62,0.04,0.98,0.95,0.02,0.27,0.24,0.16,-0.06,0,5,0,0,1,14.47,51.2,90.33,1
20,6,1,1.32,0.02,0,9,8,5,1,0,0.97,0.03,0.56,0.79,0.03,0.15,0.17,0.38,-0.15,1,6,0,0,1,35.32,215.41,53.78,1
13,6,4,0.74,0.01,1,9,8,4,2,1,0.36,0.01,0.22,1.47,0.02,0.15,0.11,0.14,-0.03,0,5,0,0,1,14.48,44.74,91.84,1
13,7,4,0.35,0.04,1,2,3,4,1,1,1.06,0.04,0.86,1.37,0.04,0.15,0.25,0.15,-0.08,6,7,8,0,0.2,17.97,238.06,67.89,0
8,5,2,1.83,0.02,0,20,6,4,2,1,1.33,0.02,0.61,1.23,0.04,0.18,0.16,0.37,-0.18,1,6,0,0,1,15.2,56.71,89.18,1
5,7,3,1.31,0.02,0,12,7,6,4,1,0.81,0.05,0.79,0.9,0.05,0.18,0.28,0.16,-0.24,161,164,4,0,0.8,15.04,115.26,83.51,0
18,4,1,1.02,0.04,1,13,5,7,1,0,1.77,0.04,0.49,0.67,0.02,0.22,0.13,0.4,-0.26,80,84,2,0,0.8,13.6,83.71,86.66,0
1,7,2,1,0.02,0,8,10,4,1,0,1.79,0.05,0.56,1.46,0.02,0.13,0.18,0.25,-0.01,80,84,2,0,0.8,11.83,58.1,92.31,0
17,5,1,0.36,0.05,0,11,6,7,4,0,0.81,0.04,0.35,0.95,0.01,0.12,0.16,0.11,-0.25,0,5,0,0,1,14.48,55.22,89.98,1
4,5,3,1.3,0.03,1,16,2,6,2,0,0.7,0.04,0.61,0.87,0.02,0.22,0.16,0.29,-0.13,85,89,2,0,0.8,14.94,104.99,81.98,0
12,6,1,1.69,0.05,0,10,9,6,3,0,0.84,0.03,0.8,0.72,0.02,0.19,0.1,0.27,-0.07,80,242,6,160,0.8,12.6,97.48,90.98,0
8,6,3,0.27,0.05,0,4,3,6,1,0,1.74,0.01,0.21,0.58,0.05,0.13,0.21,0.26,-0.16,6,8,6,0,0.4,110.29,1046.69,8.96,0
14,7,1,1.8,0.01,0,13,6,5,1,1,1.72,0.02,0.57,1.3,0.02,0.27,0.15,0.36,-0.26,162,166,4,1,0.8,13.06,97.67,86.99,0
9,6,1,1.58,0.04,1,1,7,4,4,0,0.34,0.02,0.76,0.88,0.04,0.1,0.11,0.23,-0.19,82,86,2,0,0.8,13.04,87.51,85.83,0
20,5,4,1.13,0.05,1,13,2,4,4,0,1.16,0.04,0.12,1.27,0.04,0.24,0.26,0.34,-0.09,0,5,0,0,1,14.49,47.19,91.4,1
12,7,4,1.23,0.04,1,19,8,6,3,1,1.31,0.03,0.29,0.86,0.02,0.1,0.22,0.27,-0.13,81,85,2,0,0.8,13.4,66.37,90.48,0
16,7,3,0.3,0.02,0,16,8,4,4,1,1.99,0.05,0.85,0.63,0.04,0.18,0.24,0.27,-0.17,85,168,4,80,0.8,18.12,130.18,79.85,0
5,6,1,0.59,0.03,0,2,2,6,3,0,0.65,0.04,0.29,1.29,0.03,0.29,0.22,0.31,-0.2,0,5,0,0,1,14.3,48.66,90.99,1
10,5,4,0.88,0.02,0,4,6,7,1,0,1.92,0.01,0.73,1.28,0.03,0.17,0.15,0.36,-0.05,0,5,0,0,1,14.27,42.88,92.16,1
4,7,2,1.52,0.05,0,18,9,7,2,1,1.12,0.01,0.27,1,0.03,0.17,0.15,0.37,-0.22,2,7,0,0,1,14.89,54.01,89.79,1
20,5,2,0.29,0.01,1,17,6,5,1,0,0.84,0.02,0.12,1,0.02,0.1,0.15,0.11,-0.13,4,9,0,0,1,37.98,586.37,8.96,1
12,7,2,1.45,0.05,1,16,3,6,1,0,1.12,0.02,0.65,0.73,0.03,0.14,0.28,0.17,-0.26,8,12,3,0,0.8,18.74,239.56,54.77,0
4,7,2,0.42,0.02,0,18,9,7,4,0,1.81,0.05,0.57,0.91,0.04,0.19,0.19,0.17,-0.27,88,91,4,0,0.8,12.23,102.77,87.83,0
16,6,2,1.03,0.02,0,9,7,5,3,0,1.74,0.03,0.9,0.61,0.03,0.24,0.29,0.18,-0.1,4,6,6,0,0.4,45.34,1278.96,0,0
6,4,2,1.49,0.02,1,17,5,6,4,0,0.28,0.02,0.83,1.08,0.04,0.14,0.17,0.27,-0.01,80,84,2,0,0.8,12.81,58.67,92,0
18,6,2,0.99,0.05,0,16,4,5,2,1,1.98,0.02,0.91,0.88,0.05,0.29,0.13,0.24,-0.08,164,167,4,0,0.6,10.54,96.4,87.32,0
20,4,4,0.44,0.02,1,11,2,7,1,0,1.57,0.02,0.12,0.54,0.05,0.23,0.19,0.18,-0.01,161,241,8,79,0.6,9.37,135.57,87.32,0
9,5,1,1.81,0.03,1,8,5,4,1,1,1.52,0.02,0.3,0.73,0.03,0.24,0.13,0.15,-0.29,2,4,6,0,0.4,10.7,136.35,86.99,0
4,7,2,0.86,0.04,0,2,5,4,4,0,1.84,0.05,0.55,1.45,0.05,0.29,0.14,0.21,-0.22,84,167,4,80,0.8,15.89,118.89,82.84,0
5,7,1,0.59,0.05,1,10,5,4,1,0,0.3,0.04,0.26,0.7,0.04,0.22,0.13,0.21,-0.11,86,248,6,160,0.8,19.84,169.92,74.7,0
16,5,3,0.54,0.03,1,3,9,7,4,0,0.99,0.01,0.3,1.2,0.02,0.15,0.14,0.1,-0.21,0,5,0,0,1,14.51,51.91,90.49,1
16,7,2,1.07,0.02,1,2,10,6,4,1,1.98,0.04,0.72,0.61,0.03,0.27,0.22,0.12,-0.24,83,87,2,0,0.8,13.13,87.7,85.83,0
1,4,2,1.66,0.03,1,11,2,5,1,1,1.79,0.03,0.84,0.63,0.02,0.29,0.11,0.31,-0.12,0,84,2,80,1,32.29,228.73,54.27,0
6,6,1,1.08,0.05,0,7,5,5,2,1,1.77,0.05,0.45,1.36,0.02,0.28,0.27,0.3,-0.12,81,85,2,0,0.8,13.78,84.31,86.66,0
3,5,2,1.85,0.02,0,20,5,7,1,0,1.99,0.04,0.41,1.12,0.05,0.14,0.12,0.17,-0.13,3,8,0,0,1,17.04,77.07,84.68,1
2,6,4,0.67,0.01,1,6,2,5,4,0,1.77,0.05,0.76,0.72,0.02,0.17,0.27,0.33,-0.29,80,84,2,0,0.8,11.92,70.04,89.82,0
1,5,3,0.38,0.05,1,10,3,6,4,0,1.9,0.03,0.62,1.1,0.01,0.22,0.18,0.11,-0.26,90,94,2,0,0.8,14.54,86.97,86.33,0
18,5,1,1.5,0.05,0,4,10,6,4,1,1.48,0.03,0.77,1.35,0.05,0.17,0.15,0.17,-0.02,80,84,2,0,0.8,11.91,75.6,88.49,0
18,7,1,0.7,0.03,1,16,2,4,3,1,2,0.02,0.96,1.49,0.04,0.24,0.26,0.19,-0.06,163,166,4,0,0.8,11.64,85.67,89.82,0
16,6,3,1.49,0.01,1,11,6,5,3,0,0.68,0.05,0.86,1.12,0.03,0.11,0.26,0.22,-0.03,244,246,6,0,0.6,9.39,91.84,91.98,0
1,5,2,0.59,0.02,0,2,7,5,3,1,0.23,0.02,1,0.64,0.03,0.18,0.13,0.22,-0.19,106,188,6,80,0.6,16.15,170.3,76.53,0
1,5,3,0.69,0.05,1,14,4,6,1,0,1.59,0.03,0.51,0.85,0.03,0.21,0.15,0.4,-0.03,0,5,0,0,1,14.49,49.57,90.66,1
7,7,1,0.56,0.05,0,19,6,6,2,0,1.62,0.05,0.13,0.91,0.04,0.19,0.23,0.17,-0.08,89,93,2,0,0.8,12.45,89.2,85.67,0
7,6,3,1.08,0.04,1,5,8,4,2,0,0.63,0.05,0.67,0.86,0.02,0.16,0.12,0.31,-0.12,82,86,2,0,0.8,18.32,118.06,78.93,0
11,6,1,1.7,0.03,0,1,2,6,1,0,1.43,0.04,0.49,1.44,0.04,0.17,0.27,0.27,-0.23,0,5,0,0,1,14.36,54,89.66,1
11,4,2,1.04,0.05,0,4,8,7,2,0,0.92,0.04,0.97,0.51,0.02,0.29,0.2,0.22,-0.12,171,174,4,0,0.6,22.63,202.11,0,0
6,6,1,1.34,0.05,1,15,2,7,3,0,0.85,0.02,0.37,1.45,0.01,0.3,0.28,0.25,-0.11,0,5,0,0,1,14.34,44.66,91.94,1
20,5,1,0.21,0.04,1,1,2,7,1,0,0.75,0.04,0.49,0.67,0.04,0.29,0.29,0.33,-0.08,90,252,12,162,0.6,19.85,362.24,45.63,0
9,7,4,0.61,0.02,1,13,6,5,2,1,1.38,0.04,0.68,1.46,0.02,0.27,0.17,0.12,-0.07,79,83,2,0,0.8,12.25,61.44,91.65,0
1,4,1,1.81,0.04,1,19,6,6,3,0,1.8,0.02,0.4,0.92,0.05,0.1,0.22,0.19,-0.28,83,87,2,0,0.8,16.34,99.33,83.51,0
1,6,3,0.96,0.02,0,10,2,4,3,0,1.84,0.03,0.88,0.53,0.04,0.16,0.23,0.33,-0.27,86,118,4,29,0.8,13.67,107.22,85.34,0
9,7,2,1.43,0.01,0,13,8,4,2,0,1.73,0.02,0.26,1.19,0.02,0.28,0.15,0.18,-0.29,82,86,2,0,0.8,13.01,71.47,89.49,0
3,5,4,1.16,0.04,1,2,6,4,1,0,1.31,0.03,0.64,0.85,0.05,0.16,0.19,0.28,-0.15,133,213,11,80,0.2,35.19,455.82,19.72,0
9,5,1,1.6,0.02,0,18,6,4,2,1,1.66,0.04,0.15,1.23,0.03,0.16,0.15,0.22,-0.12,80,84,2,0,0.8,12.2,62.95,91.32,0
8,6,2,0.54,0.02,1,8,10,6,3,1,0.57,0.05,0.86,1,0.05,0.2,0.24,0.21,-0.29,81,85,2,0,0.8,13.11,90.35,85.34,0
6,6,1,1.95,0.03,1,4,10,5,1,1,0.49,0.01,0.83,1.34,0.04,0.27,0.3,0.34,-0.24,0,5,0,0,1,14.27,51.42,90.36,1
1,7,1,1.34,0.02,1,11,10,6,4,0,1.6,0.04,0.48,0.65,0.04,0.18,0.22,0.16,-0.04,201,202,8,0,0.4,6.89,118.13,91.65,0
9,6,1,0.35,0.04,0,8,8,4,2,0,0.89,0.04,0.36,0.99,0.05,0.16,0.21,0.14,-0.19,171,175,4,1,0.6,15.71,131.39,79.98,0
16,5,4,1.28,0.03,0,16,7,6,2,0,0.69,0.03,0.16,0.79,0.03,0.18,0.29,0.17,-0.26,96,100,2,0,0.8,14.53,82.23,87.98,0
16,5,3,1.46,0.01,0,7,5,5,2,0,0.35,0.04,0.47,0.86,0.03,0.15,0.21,0.26,-0.22,2,7,0,0,1,17.78,84.6,82.98,1
8,5,4,0.89,0.05,1,18,2,5,3,0,0.81,0.02,0.99,1.01,0.02,0.19,0.2,0.17,-0.1,0,5,0,0,1,15.94,63.43,87.78,1
12,4,1,0.42,0.02,1,17,8,6,4,1,0.98,0.01,0.65,1.03,0.03,0.22,0.16,0.25,-0.01,80,84,2,0,0.8,12.27,63.16,91.32,0
7,7,1,0.83,0.03,0,18,6,5,2,0,0.74,0.04,0.91,0.59,0.05,0.19,0.18,0.3,-0.02,84,88,2,0,0.8,12.4,70.53,89.82,0
17,5,1,1.87,0.04,0,11,3,4,1,1,1.21,0.02,0.32,1.22,0.03,0.13,0.22,0.23,-0.23,158,161,4,0,0.6,11.47,90.94,88.49,0
14,5,4,1.61,0.04,1,6,3,4,1,1,0.81,0.02,0.9,0.66,0.03,0.19,0.13,0.11,-0.12,158,161,4,0,0.8,18.42,161.13,72.71,0
16,5,2,0.37,0.05,1,19,5,7,3,1,1.84,0.03,0.11,1.13,0.03,0.22,0.25,0.36,-0.11,5,9,2,0,0.8,15.21,82.65,88.78,0
6,5,3,1.09,0.02,1,9,8,7,1,1,0.44,0.05,0.22,1.43,0.03,0.13,0.24,0.23,-0.28,228,231,4,0,0.8,12.53,106.29,87.83,0
16,7,1,0.88,0.01,0,4,5,4,1,1,0.24,0.03,0.11,0.59,0.02,0.13,0.27,0.12,-0.08,5,10,0,0,1,19.46,464.84,8.96,1
2,5,3,0.41,0.03,1,17,1,5,4,0,1.1,0.03,0.15,1.38,0.04,0.27,0.15,0.15,-0.27,0,5,0,0,1,16.15,71.01,85.83,1
13,5,1,1.67,0.01,0,9,4,5,2,1,0.88,0.03,0.65,0.52,0.02,0.3,0.14,0.13,-0.16,0,5,0,0,1,21.32,109.36,77.43,1
17,7,3,0.98,0.02,1,7,5,5,3,0,1.05,0.02,0.41,0.96,0.04,0.19,0.27,0.23,-0.19,4,85,6,79,0.6,25.58,216.2,66.4,0
10,7,4,0.26,0.03,0,15,1,4,4,1,1.38,0.02,0.83,1.2,0.04,0.27,0.25,0.11,-0.08,83,86,4,0,0.8,12.32,115.31,84.68,0
20,7,2,1.86,0.02,0,20,3,4,2,1,1.58,0.04,0.37,0.75,0.02,0.11,0.27,0.24,-0.12,11,16,0,0,1,17.8,79.7,84.62,1
9,7,2,1.54,0.04,1,10,9,7,3,0,1.66,0.04,0.92,1.19,0.03,0.15,0.11,0.26,-0.21,206,207,8,0,0.4,23.53,252.25,60.75,0
10,5,3,1.78,0.02,0,14,8,6,3,0,1.5,0.02,0.46,0.8,0.02,0.22,0.16,0.26,-0.19,0,5,0,0,1,15.2,56.73,89.32,1
13,5,4,0.95,0.01,0,7,3,4,1,1,1.39,0.02,0.26,0.78,0.03,0.25,0.13,0.3,-0.03,0,85,2,81,1,14.41,69.82,89.75,0
20,4,2,0.79,0.04,0,12,1,4,4,0,0.43,0.04,0.59,0.67,0.05,0.16,0.16,0.37,-0.09,0,5,0,0,1,14.65,57.69,88.83,1
19,5,2,0.43,0.03,0,1,3,6,3,1,1.33,0.04,0.19,1.41,0.04,0.26,0.13,0.11,-0.15,0,5,0,0,1,14.53,70.11,86.19,1
1,7,3,0.65,0.05,1,19,9,7,3,0,1.91,0.03,0.84,0.53,0.02,0.23,0.29,0.2,-0.12,82,165,4,80,0.8,16.92,120.13,81.98,0
